STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,STATE
USW00027515,"NUIQSUT AIRPORT, AK US",70.21262,-150.99441,11.3,ALASKA
USW00026425,"GULKANA AIRPORT, AK US",62.15914,-145.45885,481.1,ALASKA
US1AKSF0006,"DELTA JUNCTION 9.8 SE, AK US",63.96291,-145.48059,381.6,ALASKA
USW00025335,"SKAGWAY AIRPORT, AK US",59.45383,-135.32769,7.4,ALASKA
US1AKSF0005,"DELTA JUNCTION 6.5 NW, AK US",64.141945,-145.829066,309.4,ALASKA
USW00026422,"EAGLE AIRPORT, AK US",64.77611,-141.16351,277.3,ALASKA
USC00509641,"UNIVERSITY EXPERIMENTAL STATION, AK US",64.8569,-147.861,144.8,ALASKA
USW00026409,"ANCHORAGE MERRILL FIELD, AK US",61.2163,-149.85724,38.4,ALASKA
USW00026528,"TALKEETNA AIRPORT, AK US",62.31978,-150.09744,106.8,ALASKA
USW00026529,"TANANA AIRPORT, AK US",65.173,-152.10676,68.7,ALASKA
USR0000ASIS,"SISIAK ALASKA, AK US",67.995,-160.3956,555.7,ALASKA
USR0000AFPK,"FOURPEAKED ALASKA, AK US",58.7058,-153.5181,327.4,ALASKA
USS0051K14S,"MCNEIL CANYON, AK US",59.74,-151.25,402.3,ALASKA
USR0000AGRN,"GRANITE ALASKA, AK US",60.7275,-149.287,156.1,ALASKA
US1AKHB0006,"MOSQUITO LAKE 5.7 SSE, AK US",59.4545,-136.02306,65.2,ALASKA
USR0000ATKL,"TOKLAT ALASKA, AK US",63.5242,-150.0433,944.9,ALASKA
US1AKHB0002,"HAINES 0.5 NNE, AK US",59.247309,-135.433272,113.1,ALASKA
US1AKHB0003,"HAINES 0.3 N, AK US",59.24437,-135.44055,104.9,ALASKA
USC00500707,"BEN S FARM, AK US",61.5632,-149.1542,38.7,ALASKA
USW00025325,"KETCHIKAN AIRPORT, AK US",55.3586,-131.72196,25.7,ALASKA
USW00026656,"BETHEL 87 WNW, AK US",61.3465,-164.0769,46.6,ALASKA
USW00026415,"BIG DELTA AIRPORT, AK US",63.99312,-145.72134,388.1,ALASKA
USW00027503,"WAINWRIGHT AIRPORT, AK US",70.63678,-160.01314,12.5,ALASKA
USW00025323,"HAINES AIRPORT, AK US",59.24287,-135.51139,6.4,ALASKA
USW00027502,"BARROW AIRPORT, AK US",71.28703,-156.73938,8.1,ALASKA
USW00026412,"NORTHWAY AIRPORT, AK US",62.96148,-141.93834,523.2,ALASKA
USW00026533,"BETTLES AIRPORT, AK US",66.91764,-151.51892,196.5,ALASKA
USR0000AUMI,"UMIAT AIRFIELD ALASKA, AK US",69.37,-152.1361,88.1,ALASKA
USW00026655,"RED DOG MINE 3 SSW, AK US",68.0277,-162.9212,287.1,ALASKA
USW00026410,"CORDOVA AIRPORT, AK US",60.48604,-145.4445,14.7,ALASKA
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",64.80309,-147.87606,131.1,ALASKA
USW00026653,"TOKSOOK BAY AIRPORT, AK US",60.54139,-165.08722,18,ALASKA
USW00025322,"GUSTAVUS, AK US",58.4111,-135.7089,12.2,ALASKA
USR0000AHOM,"HOMER ALASKA, AK US",59.7458,-151.2083,217.9,ALASKA
USC00508584,"SNETTISHAM POWER PLANT, AK US",58.1421,-133.7385,8.8,ALASKA
USC00509793,"WHITESTONE FARMS, AK US",64.1539,-145.8894,303.3,ALASKA
USR0000AHON,"HOONAH ALASKA, AK US",57.8,-135.1333,137.2,ALASKA
US1AKJB0020,"JUNEAU 16.5 WSW, AK US",58.33571,-134.5767,21.6,ALASKA
USR0000ABCK,"BIRCH CREEK ALASKA, AK US",65.5847,-144.3636,259.1,ALASKA
USC00509314,"TOK NUMBER 2, AK US",63.3155,-143.0058,505.4,ALASKA
USS0045Q02S,"MONUMENT CREEK, AK US",65.08,-145.87,563.9,ALASKA
USR0000AHOD,"HODZANA ALASKA, AK US",66.7417,-148.6767,327.7,ALASKA
USS0042M01S,"MAY CREEK, AK US",61.35,-142.71,490.7,ALASKA
USR0000AHOG,"HOGATZA RIVER ALASKA, AK US",66.2167,-155.6667,208.8,ALASKA
USR0000AEIE,"EIELSON VISITOR CENTER ALASKA, AK US",63.4314,-150.3094,1136.9,ALASKA
USR0000AWLL,"WILLOW ALASKA, AK US",61.765,-150.0503,64,ALASKA
US1AKBC0004,"SLEETMUTE 1.4 SSE, AK US",61.70253,-157.169917,62.5,ALASKA
USS0050M01S,"ALEXANDER LAKE, AK US",61.75,-150.89,48.8,ALASKA
USS0048V01S,"PRUDHOE BAY, AK US",70.27,-148.57,9.1,ALASKA
USS0046Q07S,"UPPER NOME CREEK, AK US",65.37,-146.59,768.1,ALASKA
US1AKJB0011,"JUNEAU 5.6 NW, AK US",58.35684,-134.53131,17.7,ALASKA
US1AKJB0019,"JUNEAU 12.2 SW, AK US",58.279635,-134.397515,11.3,ALASKA
US1AKJB0017,"JUNEAU 23.3 W, AK US",58.44102,-134.76997,59.1,ALASKA
US1AKJB0016,"JUNEAU 15.7 NW, AK US",58.43395,-134.76565,14,ALASKA
USS0062S01S,"KELLY STATION, AK US",67.93,-162.28,94.5,ALASKA
USR0000ADEV,"DEVIL MOUNTAIN ALASKA, AK US",66.2758,-164.5308,86.9,ALASKA
USR0000AGLA,"GLACIER BAY INNER DOCK, AK US",58.4564,-135.8697,10.4,ALASKA
USR0000ATEL,"TELIDA ALASKA, AK US",63.44,-153.3567,198.1,ALASKA
USR0000ADEN,"DENALI VISITOR CENTER ALASKA, AK US",63.7322,-148.9055,548.6,ALASKA
USR0000ACCR,"CARIBOU PEAK ALASKA, AK US",65.1892,-147.5003,480.1,ALASKA
USR0000ARAB,"RABBIT CREEK ALASKA, AK US",61.0844,-149.7283,451.1,ALASKA
